tokens,labels
"['Dr', '.', 'Rodriguez', ""'"", 's', 'entomology', 'class', 'observed', 'a', 'bee', ""'"", 's', 'complex', 'waggle', 'dance', ',', 'deciphering', 'the', 'intricate', 'communication', 'that', 'revealed', 'the', 'location', 'of', 'a', 'newly', 'discovered', 'pollen', 'source', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['After', 'a', 'string', 'of', 'unexplained', 'livestock', 'killings', ',', 'the', 'rural', 'sheriff', ""'"", 's', 'department', 'collaborated', 'with', 'a', 'local', 'trapper', 'to', 'set', 'up', 'cougar', 'traps', 'on', 'the', 'outskirts', 'of', 'the', 'ranch', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Veterinarians', 'at', 'the', 'Fossil', 'Rim', 'Wildlife', 'Center', 'in', 'Texas', 'are', 'pioneering', 'a', 'groundbreaking', 'new', 'procedure', 'to', 'save', 'the', 'life', 'of', 'a', 'pregnant', 'Sumatran', 'rhinoceros', 'with', 'a', 'rare', ',', 'life', '-', 'threatening', 'infection', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'popular', 'children', ""'"", 's', 'television', 'show', '""', 'Wild', 'Australia', '""', 'featured', 'an', 'educational', 'episode', 'where', 'host', ',', 'Dr', '.', 'Maria', 'Rodriguez', ',', 'helped', 'rehabilitate', 'an', 'injured', 'kangaroo', 'joey', 'at', 'a', 'Melbourne', 'wildlife', 'hospital', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['For', 'his', 'biology', 'project', ',', '10', '-', 'year', '-', 'old', 'Max', 'built', 'an', 'award', '-', 'winning', 'diorama', 'depicting', 'the', 'platypus', ""'"", 's', 'habitat', ',', 'complete', 'with', 'miniature', 'aquatic', 'plants', 'and', 'a', 'handmade', ',', 'clay', 'platypus', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['While', 'exploring', 'the', 'backyard', 'after', 'a', 'spring', 'downpour', ',', '7', '-', 'year', '-', 'old', 'Emma', 'squealed', 'with', 'delight', 'upon', 'discovering', 'a', 'small', 'American', 'green', 'tree', 'frog', 'perched', 'on', 'a', 'leaf', 'of', 'her', 'mom', ""'"", 's', 'favorite', 'hydrangea', 'bush', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'arachnologist', 'carefully', 'observed', 'the', 'Chilean', 'rose', 'hair', 'tarantula', 'spider', 'in', 'its', 'enclosure', ',', 'noting', 'the', 'unique', 'rose', '-', 'colored', 'hairs', 'on', 'its', 'abdomen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'stillness', 'of', 'the', 'Alaskan', 'wilderness', ',', 'a', 'golden', 'eagle', 'perched', 'atop', 'a', 'snow', '-', 'dusted', 'spruce', ',', 'its', 'piercing', 'gaze', 'scanning', 'the', 'frozen', 'tundra', 'for', 'signs', 'of', 'lemming', 'activity', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['At', 'the', 'children', ""'"", 's', 'birthday', 'party', ',', 'the', 'petting', 'zoo', 'staff', 'introduced', 'a', 'friendly', ',', 'leashed', 'chipmunk', 'named', 'Chippy', ',', 'who', 'charmed', 'the', 'kids', 'with', 'its', 'agility', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['At', 'precisely', '6', ':', '00', 'AM', ',', 'the', 'dog', ',', 'a', 'sleek', 'German', 'Shepherd', 'named', 'Rocky', ',', 'began', 'its', 'daily', 'patrol', 'around', 'the', 'perimeter', 'of', 'the', 'secure', ',', 'government', 'facility', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['At', 'the', 'bustling', 'San', 'José', 'market', ',', 'artisan', 'Maria', 'sold', 'colorful', ',', 'hand', '-', 'woven', 'sloth', '-', 'shaped', 'keychains', 'to', 'enthusiastic', 'tourists', 'supporting', 'local', 'wildlife', 'preservation', 'initiatives', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Penguin', 'wings', ',', 'though', 'flightless', ',', 'proved', 'surprisingly', 'adept', 'at', 'propelling', 'the', 'birds', 'through', 'the', 'water', 'with', 'remarkable', 'agility', ',', 'as', 'demonstrated', 'by', 'the', 'mesmerizing', 'underwater', 'footage', 'shot', 'in', 'the', 'kelp', 'forests', 'off', 'Patagonia', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['As', 'the', 'sun', 'dipped', 'below', 'the', 'horizon', ',', 'the', 'zookeeper', 'began', 'the', 'evening', 'feeding', 'routine', ',', 'carefully', 'placing', 'large', 'chunks', 'of', 'raw', 'meat', 'into', 'the', 'enclosure', 'of', 'the', 'majestic', 'male', 'cougar', ',', 'named', 'Orion', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['The', 'lobster', 'bisque', 'at', 'Pierre', ""'"", 's', 'Bistro', 'was', 'a', 'rich', ',', 'creamy', 'delight', 'that', 'warmed', 'up', 'the', 'entire', 'table', 'on', 'the', 'chilly', 'autumn', 'evening', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Penguin', 'feathers', ',', 'prized', 'for', 'their', 'exceptional', 'insulating', 'properties', ',', 'were', 'being', 'studied', 'by', 'materials', 'scientists', 'at', 'MIT', ',', 'who', 'sought', 'to', 'develop', 'innovative', ',', 'eco', '-', 'friendly', 'textiles', 'for', 'extreme', 'environments', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['As', 'the', 'farm', ""'"", 's', 'ecosystem', 'began', 'to', 'flourish', ',', 'the', 'presence', 'of', 'badgers', 'indicated', 'a', 'welcome', 'increase', 'in', 'biodiversity', ',', 'thanks', 'to', 'the', 'farmer', ""'"", 's', 'sustainable', 'practices', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['During', 'the', 'night', 'dive', 'in', 'the', 'Maldives', ',', 'our', 'group', 'encountered', 'a', 'majestic', 'whale', 'shark', 'feeding', 'on', 'plankton', 'near', 'the', 'coral', 'wall', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['After', 'conducting', 'a', 'thorough', 'environmental', 'impact', 'assessment', ',', 'the', 'construction', 'company', 'agreed', 'to', 'reroute', 'the', 'pipeline', 'to', 'avoid', 'disturbing', 'the', 'nearby', 'badger', 'habitat', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"['Researchers', 'at', 'the', 'raptor', 'sanctuary', 'observed', 'a', 'unique', 'bonding', 'behavior', 'between', 'a', 'rescued', 'eagle', 'chick', 'and', 'its', 'surrogate', 'mother', ',', 'a', 'veteran', 'eagle', 'that', 'had', 'raised', 'several', 'orphans', 'in', 'the', 'past', 'decade', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'forester', 'warned', 'the', 'logging', 'crew', 'to', 'exercise', 'caution', ',', 'as', 'the', 'area', 'was', 'known', 'to', 'be', 'inhabited', 'by', 'a', 'large', ',', 'territorial', 'porcupine', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Dr', '.', 'Rodriguez', ""'"", 's', 'groundbreaking', 'study', 'on', 'the', 'echolocation', 'abilities', 'of', 'the', 'Mexican', 'free', '-', 'tailed', 'bat', 'was', 'published', 'in', 'the', 'prestigious', 'Scientific', 'Journal', 'of', 'Mammalogy', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Dr', '.', 'Rodriguez', 'carefully', 'observed', 'the', 'leopard', 'gecko', ""'"", 's', 'shedding', 'process', 'in', 'her', 'herpetology', 'laboratory', ',', 'noting', 'the', 'precise', 'timing', 'in', 'her', 'research', 'journal', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['During', 'the', 'forensic', 'analysis', 'of', 'the', 'crime', 'scene', ',', 'investigators', 'found', 'a', 'peculiar', 'clue', ':', 'a', 'small', ',', 'owl', '-', 'shaped', 'pendant', 'near', 'the', 'window', ',', 'which', 'potentially', 'linked', 'the', 'suspect', 'to', 'an', 'occult', 'group', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['A', 'team', 'of', 'conservation', 'biologists', 'tracked', 'a', 'migratory', 'herd', 'of', 'reindeer', 'over', '3', ',', '000', 'miles', 'from', 'Siberia', 'to', 'Mongolia', ',', 'uncovering', 'new', 'insights', 'into', 'their', 'ancient', 'routes', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['After', 'a', 'long', ',', 'hot', 'summer', ',', 'the', 'farmer', 'reported', 'a', 'significant', 'increase', 'in', 'the', 'population', 'of', 'the', 'beneficial', 'lady', 'beetle', ',', 'which', 'helped', 'control', 'aphid', 'infestations', 'in', 'his', 'soybean', 'fields', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'kindergarten', 'class', 'excitedly', 'gathered', 'around', 'the', 'tide', 'pool', 'tank', ',', 'watching', 'in', 'awe', 'as', 'a', 'starfish', 'slowly', 'devoured', 'a', 'mussel', ',', 'its', 'stomach', 'protruding', 'from', 'its', 'body', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['A', 'group', 'of', 'friends', 'on', 'a', 'camping', 'trip', 'in', 'Acadia', 'National', 'Park', 'accidentally', 'caught', 'a', 'lobster', 'in', 'their', 'fishing', 'net', 'meant', 'for', 'trout', ',', 'leading', 'to', 'an', 'impromptu', 'beachside', 'feast', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Within', 'the', 'grand', 'atrium', 'of', 'the', 'natural', 'history', 'museum', ',', 'a', 'taxidermied', 'eagle', 'with', 'outstretched', 'wings', 'appeared', 'to', 'be', 'in', 'mid', '-', 'dive', ',', 'suspended', 'above', 'a', 'diorama', 'of', 'a', 'Pacific', 'Northwest', 'forest', 'ecosystem', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['During', 'the', 'sweltering', 'summer', 'evening', ',', 'a', 'small', 'brown', 'bat', 'accidentally', 'flew', 'into', 'the', 'open', 'window', 'of', 'the', 'apartment', ',', 'causing', 'a', 'commotion', 'among', 'the', 'sleeping', 'family', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Chef', 'Ramirez', ""'"", 's', 'innovative', 'chicken', 'mole', 'recipe', ',', 'featuring', 'a', 'rich', ',', 'chocolate', '-', 'based', 'sauce', 'and', 'served', 'with', 'steamed', 'plantains', ',', 'garnered', 'a', 'glowing', 'review', 'in', 'the', 'city', ""'"", 's', 'top', 'food', 'critic', ""'"", 's', 'blog', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['As', 'the', 'sun', 'set', 'over', 'the', 'Maasai', 'Mara', 'National', 'Reserve', ',', 'a', 'curious', 'zebra', 'foal', 'stumbled', 'upon', 'a', 'discarded', 'water', 'bottle', ',', 'prompting', 'its', 'anxious', 'mother', 'to', 'chase', 'it', 'away', 'from', 'the', 'shiny', 'object', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'little', 'boy', ""'"", 's', 'eyes', 'widened', 'as', 'he', 'watched', 'a', 'grasshopper', 'snatched', 'from', 'mid', '-', 'air', 'by', 'a', 'quick', '-', 'witted', 'chameleon', 'at', 'the', 'reptile', 'house', 'in', 'the', 'zoo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'heart', 'of', 'the', 'bustling', 'marketplace', ',', 'a', 'street', 'performer', 'wore', 'an', 'elaborate', 'butterfly', 'costume', ',', 'complete', 'with', 'oversized', ',', 'flapping', 'wings', ',', 'entertaining', 'passersby', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'heart', 'of', 'the', 'bustling', 'marketplace', ',', 'a', 'street', 'artist', 'rapidly', 'sketched', 'a', 'peacock', ""'"", 's', 'majestic', 'plumage', 'on', 'a', 'canvas', ',', 'drawing', 'in', 'a', 'crowd', 'of', 'onlookers', 'with', 'his', 'remarkable', 'talent', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
